"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Apr-2022","EQ","1,714.95","1,741.95","1,675.05","1,701.05","1,679.95","1,683.65","1,711.07","1,782.40","286.35",517895,"886,157,047.00",19443
"12-Apr-2022","EQ","1,717.00","1,738.95","1,652.40","1,718.75","1,704.50","1,701.05","1,701.68","1,782.40","286.35",653076,"1,111,323,936.10",29133
"11-Apr-2022","EQ","1,711.00","1,782.40","1,692.65","1,700.50","1,715.00","1,718.75","1,738.65","1,782.40","286.35",1087570,"1,890,901,428.55",43463
"08-Apr-2022","EQ","1,687.80","1,764.85","1,685.00","1,674.15","1,701.00","1,700.50","1,724.96","1,764.85","286.35",1586633,"2,736,881,862.45",50396
"07-Apr-2022","EQ","1,676.80","1,694.45","1,653.05","1,670.05","1,676.00","1,674.15","1,668.45","1,740.00","286.35",440741,"735,352,759.65",27709
"06-Apr-2022","EQ","1,658.00","1,740.00","1,645.00","1,660.00","1,668.00","1,670.05","1,691.12","1,740.00","286.35",885968,"1,498,276,137.75",39274
"05-Apr-2022","EQ","1,645.00","1,700.00","1,601.00","1,629.90","1,660.00","1,660.00","1,651.00","1,718.20","286.35",1040985,"1,718,669,173.00",62812
"04-Apr-2022","EQ","1,567.00","1,647.00","1,548.10","1,542.85","1,639.50","1,629.90","1,593.10","1,718.20","286.35",717963,"1,143,787,009.85",38960
"01-Apr-2022","EQ","1,543.00","1,607.30","1,535.00","1,536.75","1,545.00","1,542.85","1,560.88","1,718.20","286.35",551032,"860,094,693.30",26880
"31-Mar-2022","EQ","1,538.70","1,565.00","1,511.40","1,524.90","1,541.00","1,536.75","1,537.84","1,718.20","286.35",402106,"618,375,150.10",23941
"30-Mar-2022","EQ","1,546.25","1,566.00","1,502.10","1,524.20","1,533.00","1,524.90","1,529.40","1,718.20","286.35",346379,"529,753,107.60",22880
"29-Mar-2022","EQ","1,558.20","1,570.35","1,490.00","1,543.00","1,535.00","1,524.20","1,524.28","1,718.20","286.35",442958,"675,190,095.55",24714
"28-Mar-2022","EQ","1,619.50","1,627.80","1,527.05","1,608.40","1,549.00","1,543.00","1,563.86","1,718.20","286.35",289006,"451,964,001.55",17387
"25-Mar-2022","EQ","1,621.50","1,642.00","1,601.20","1,615.15","1,610.60","1,608.40","1,621.71","1,718.20","286.35",358147,"580,811,551.65",18591
